Density,CO,FA,ODH,DAS,FOS
2039,20,36,50,,0.67
2039,20,36,50,,1.45
2039,0,36,50,,1.58
2039,0,36,50,,1.37
2243,0,40,8,,2.05
2447,0,40,8,,1.25
2039,0,25,8,,1.25
1835,5,30,8,,1.25
2784,14,31,110,,1.25
2784,31.5,30,135,,1.09
2784,16.8,28,90.5,,0.78
2784,26,31,92,,2
1886,25,0,6,,1.7
1886,12,0,6,,0.89
2284,10,35,10,,1.46
2182,10,30,20,,0.8
2243,0,36,50,,1.44
1223,0,30,4,,1.11
1223,0,30,8,,1.78
1223,0,30,4,,1.2
1902,8.8,15,8.2,,1.09
2895,9.8,35,100,,1.7
2647,50,45,200,,1.11
1882,8.35,0,6,,1.4
2178,3.35,30,20,,1.35
1630,23.35,20,115,,1.28
2079,8.3,13,10.6,,1.09
1998,4,20,12.2,,1.05
2079,11.15,11,45.8,,1.84
1940,3.9,28,21,,1.43
1833,1.65,30,8,,1.34
2137,6.65,40,12,,1.4
2137,11.65,28,12,,1.46
19.97,3.35,29,6,,1.21
1914,10,10,50,,1.25
1914,10,20,50,,1
1914,8.35,20,50,,1.88
2096,5.4,27,40,,2.04
1679,3.85,0,3.6,,1.99
1917,4.8,25,30.6,,1.3
1917,19.15,20,30.6,,0.78
2895,13.05,38,100,,2
2545,40,45,120,,1.02
1882,4,0,6,,1.63
2282,3.35,35,10,,1.11
2241,6.65,36,50,,1.01
1917,5.1,30,10.6,,0.63
1917,4.8,25,30.6,,1.12
2189,2.3,30,76.8,,1.8
1424,4,26,88,,0.9
1833,8,30,20,,0.96
2282,33.3,45,15,,0.83
2282,3.35,35,10,,1.53
2036,6.65,36,50,,1.49
2036,6.65,36,50,,1.84
2137,15,25,12,,2.09
2137,10,35,12,,2
2036,13.35,30,15,,2.31
1833,15,25,14,,1.07
1934,10,35,11,,1.29
2036,13.35,40,10,,1.18
1920,8.25,21,37,,0.97
1920,2.45,21,37,,0.65
1914,8.35,10,50,,1
1914,6.65,10,50,,0.65
1946,3.35,10,50,,1.12
1914,6.65,20,50,,0.99
1946,3.35,20,50,,
2241,6.65,22,180,,
2241,6.65,22,180,,
2151,13000,21,,,
2243,13000,25,,,
1866,15000,29,,,
1917,14000,23,,,
2243,13000,21,,,
2243,13000,20,,,
,1.95,31,,,
,7.85,33,,,
,63.2,21.9,,,
,16.1,34,,,
,30.3,23.9,,,
,0.19,28.75,,,
,4.6,35,,,
,1,45.5,,,1.67
,0.08,33,,,1.17
,12.5,50,,,0.95
2000,2,20,35,45,0.92
2000,2,20,35,45,1.47
2000,2,20,35,45,1.39
2000,2,20,35,45,1.34
1968,20.56,31.1,30,35,1.3
1968,20.56,31.1,35,35,1.26
1968,20.56,31.1,40,35,1.63
1968,20.56,31.1,45,35,1.53
1968,20.56,31.1,50,35,1.47
1968,29.25,29.34,30,35,1.41
1846,29.25,29.34,35,35,1.37
1846,29.25,29.34,40,35,1.33
1846,29.25,29.34,45,35,1.29
1846,29.25,29.34,50,35,1.65
1846,29.25,29.34,55,35,1.54
1846,29.25,29.34,60,35,1.46
1811,30.93,27.38,30,35,1.4
1811,30.93,27.38,35,35,1.35
1811,30.93,27.38,40,35,1.31
1811,30.93,27.38,45,35,1.28
1811,30.93,27.38,50,35,1.47
1811,30.93,27.38,55,35,1.38
1811,30.93,27.38,60,35,1.32
1769,25.33,26.8,30,35,1.28
1769,25.33,26.8,35,35,1.28
1769,25.33,26.8,40,35,1.37
1769,25.33,26.8,45,35,1.42
1737,19.15,25,30,35,1.39
1737,19.15,25,25,35,1.32
1737,19.15,25,23,35,1.27
1968,20.56,31.1,30,37,1.23
1968,20.56,31.1,35,37,1.19
1968,20.56,31.1,40,37,1.55
1968,20.56,31.1,45,37,1.46
1968,20.56,31.1,50,37,1.4
1968,29.25,29.34,30,37,1.34
1846,29.25,29.34,35,37,1.3
1846,29.25,29.34,40,37,1.26
1846,29.25,29.34,45,37,1.23
1846,29.25,29.34,50,37,1.57
1846,29.25,29.34,55,37,1.47
1846,29.25,29.34,60,37,1.4
1811,30.93,27.38,30,37,1.34
1811,30.93,27.38,35,37,1.29
1811,30.93,27.38,40,37,1.25
1811,30.93,27.38,45,37,1.21
1811,30.93,27.38,50,37,1.4
1811,30.93,27.38,55,37,1.32
1811,30.93,27.38,60,37,1.26
1769,25.33,26.8,30,37,1.22
1769,25.33,26.8,35,37,1.2
1769,25.33,26.8,40,37,1.29
1769,25.33,26.8,45,37,1.35
1737,19.15,25,30,37,
1737,19.15,25,25,37,
1737,19.15,25,23,37,
1899,15,20,,25.67,
1899,17,21,,25.67,0.603
1899,5,10,,25.67,0.681
1899,35,28,,25.67,1.683
1850,10000,31,5,,2.435
1950,10000,34,5,,2.143
1850,10,30,5,,3.879
1950,20,32,5,,1.386
1300,15,20,5,,2.747
1750,40,28,5,,0.602
1300,15,0,5,,0.68
1750,40,0,5,,1.251
1850,10000,31,10,,1.705
1950,10000,34,10,,1.398
1850,10,30,10,,2.434
1950,20,32,10,,0.693
1300,15,20,10,,1.374
1750,40,28,10,,0.602
1300,15,0,10,,0.68
1750,40,0,10,,0.999
1850,10000,31,20,,1.297
1950,10000,34,20,,0.981
1850,10,30,20,,1.658
1950,20,32,20,,0.346
1300,15,20,20,,0.686
1750,40,28,20,,0.602
1300,15,0,20,,0.676
1750,40,0,20,,1.61
1850,10000,31,5,,2.361
1950,10000,34,5,,2.112
1850,10,30,5,,3.869
1950,20,32,5,,1.442
1300,15,20,5,,2.857
1750,40,28,5,,0.602
1300,15,0,5,,0.675
1750,40,0,5,,1.185
1850,10000,31,10,,1.631
1950,10000,34,10,,1.355
1850,10,30,10,,2.388
1950,20,32,10,,0.718
1300,15,20,10,,1.423
1750,40,28,10,,0.601
1300,15,0,10,,0.675
1750,40,0,10,,0.946
1850,10000,31,20,,1.226
1950,10000,34,20,,0.938
1850,10,30,20,,1.596
1950,20,32,20,,0.357
1300,15,20,20,,0.709
1750,40,28,20,,0.602
1300,15,0,20,,0.676
1750,40,0,20,,1.684
1850,10000,31,5,,2.435
1950,10000,34,5,,2.141
1850,10,30,5,,3.89
1950,20,32,5,,1.441
1300,15,20,5,,2.885
1750,40,28,5,,0.602
1300,15,0,5,,0.676
1750,40,0,5,,1.247
1850,10000,31,10,,1.7
1950,10000,34,10,,1.4
1850,10,30,10,,2.453
1950,20,32,10,,0.722
1300,15,20,10,,1.432
1750,40,28,10,,0.602
1300,15,0,10,,0.675
1750,40,0,10,,0.995
1850,10000,31,20,,1.291
1950,10000,34,20,,0.979
1850,10,30,20,,1.652
1950,20,32,20,,0.355
1300,15,20,20,,0.71
1750,40,28,20,,
1300,15,0,20,,
1750,40,0,20,,
1903,48,11,80,,
1841,13,18,80,,
1535,54,32,80,,1.519
1346,54,32,80,,1.621
1707,33,23,80,,1.695
1075,5.5,37,28,,1.224
1075,11,47,33,,1.574
1075,16.5,57,38,,1.223
2151,5.5,47,38,,1.417
2151,11,57,28,,1.043
2151,16.5,37,33,,1.343
3227,5.5,57,33,,
3227,11,37,38,,
3227,16.5,47,28,,
1886,1,30,,,
1988,0,32,,,
2243,21.9,6.8,,,
2223,40,9.16,,,
2172,40,15,,,
2172,40,8.35,,,
2121,80,5.33,,,
2151,89,5.81,,,
2549,338,27.13,,,
1937,20,7,,,
1203,170,14.8,,,
1611,285,17.5,,,
2650,670,40,667,34,
2600,620,32,667,34,
2580,490,27.8,667,34,
2680,760,40.2,667,34,
2650,670,40,667,34,
2580,490,27.8,667,34,
1800,8,30,667,34,
1920,10,28,667,34,
2100,20,35,667,34,
2250,45,30,667,34,
2100,40,33,667,34,
2250,45,30,667,34,
2100,25,34,667,34,
2250,50,31,667,34,
2100,10,35,667,34,
2250,20,32,667,34,
2100,80,20,667,34,
2250,100,18,667,34,
2000,2,20,35,45,1.67
2000,2,20,35,45,1.17
2000,2,20,35,45,0.95
2000,2,20,35,45,0.92
2671,150,33.54,180,32,
2671,310,36.17,180,32,
2722,2770,43.79,180,32,
2243,40,31.89,180,32,
2243,0,31.89,180,32,
1937,15.2,32.2,40,45,0.927
1937,15.2,32.2,43,45,0.926
1937,15.2,32.2,30,45,0.973
1937,15.2,32.2,20,45,0.913
1937,15.2,32.2,20,45,1.384
1937,15.2,32.2,22,45,1.367
1937,15.2,32.2,20,45,1.38
1835,12.21,28.46,40,30,1.411
1835,12.21,28.46,43,30,1.41
1835,12.21,28.46,30,30,1.455
1835,12.21,28.46,20,30,1.443
1835,12.21,28.46,20,30,1.38
1835,12.21,28.46,22,30,1.369
1835,12.21,28.46,20,30,1.432
2549,2000,40,,,
2039,40,18,,,
2192,5,33,,,
2345,25,28,,,
2243,30,25,,,
2243,35,21,,,
,,,,,
,,,,,
,,,,,
 ,,,,,
