Density,CO,FA,ODH,DAS,FOS
1697.0,32.0,14.0,10.0,40.0,0.94
1697.0,32.0,14.0,15.0,40.0,0.86
1697.0,32.0,14.0,20.0,40.0,0.82
1697.0,32.0,14.0,25.0,40.0,3.08
1697.0,32.0,14.0,30.0,40.0,2.05
1697.0,32.0,14.0,35.0,40.0,1.42
1697.0,32.0,14.0,35.0,10.0,0.96
1697.0,32.0,14.0,35.0,20.0,0.85
1697.0,32.0,14.0,35.0,30.0,0.8
1697.0,32.0,14.0,35.0,40.0,1.6936918429003023
1697.0,32.0,14.0,35.0,50.0,1.6936918429003023
1697.0,32.0,14.0,35.0,60.0,1.6936918429003023
830.0,20.73,36.62,150.0,31.64,1.6936918429003023
1430.0,15.48,39.72,150.0,31.64,1.6936918429003023
1618.0,8.89,42.02,150.0,31.64,1.6936918429003023
1771.0,0.0,37.43,150.0,31.64,1.6936918429003023
1760.5294570707072,12.1,31.5,53.60598278335725,38.22633123689727,1.6936918429003023
1760.5294570707072,12.9,28.9,53.60598278335725,38.22633123689727,1.6936918429003023
1760.5294570707072,31.4,27.6,53.60598278335725,38.22633123689727,1.6936918429003023
1760.5294570707072,74.0,26.0,53.60598278335725,38.22633123689727,1.6936918429003023
1760.5294570707072,19.0,29.0,53.60598278335725,38.22633123689727,1.6936918429003023
187.0,2.0,15.0,53.60598278335725,38.22633123689727,1.6936918429003023
226.0,2.1,41.0,53.60598278335725,38.22633123689727,1.6936918429003023
1988.0,45.1,29.5,53.60598278335725,38.22633123689727,1.6936918429003023
2498.0,135.0,30.0,53.60598278335725,38.22633123689727,1.6936918429003023
2498.0,150.0,28.0,53.60598278335725,38.22633123689727,1.6936918429003023
2314.0,150.0,31.5,53.60598278335725,38.22633123689727,1.6936918429003023
2284.0,130.0,32.0,53.60598278335725,38.22633123689727,1.6936918429003023
2518.0,127.5,29.0,53.60598278335725,38.22633123689727,1.6936918429003023
1427.0,185.1,35.0,53.60598278335725,38.22633123689727,1.6936918429003023
2518.0,176.8,31.3,53.60598278335725,38.22633123689727,1.6936918429003023
1790.0,0.0,38.56,53.60598278335725,38.22633123689727,1.6936918429003023
2440.0,0.0,48.65,53.60598278335725,38.22633123689727,1.6936918429003023
2260.0,13.97,27.93,53.60598278335725,38.22633123689727,1.6936918429003023
2290.0,26.87,32.58,53.60598278335725,38.22633123689727,1.6936918429003023
2380.0,26.89,22.25,53.60598278335725,38.22633123689727,1.6936918429003023
1760.5294570707072,347.3348309232481,26.021077257889008,53.60598278335725,38.22633123689727,1.6936918429003023
2500.0,50.0,35.0,150.0,38.22633123689727,1.6936918429003023
2500.0,30.0,28.0,150.0,38.22633123689727,1.6936918429003023
2300.0,14.5,24.6,150.0,38.22633123689727,1.6936918429003023
2500.0,2000.0,40.0,150.0,38.22633123689727,1.6936918429003023
1835.0,3.8,27.0,53.60598278335725,38.22633123689727,1.6936918429003023
1651.0,1.8,23.0,53.60598278335725,38.22633123689727,1.784
1876.0,4.1,30.0,53.60598278335725,38.22633123689727,1.378
1702.0,2.2,24.0,53.60598278335725,38.22633123689727,1.161
1760.5294570707072,91.0,22.4,60.0,40.0,1.335
1760.5294570707072,91.0,22.4,53.60598278335725,40.0,1.13
1760.5294570707072,91.0,22.4,53.60598278335725,40.0,1.098
1760.5294570707072,91.0,22.4,53.60598278335725,40.0,1.15
1760.5294570707072,91.0,22.4,53.60598278335725,40.0,1.1
1760.5294570707072,91.0,22.4,100.0,40.0,1.07
255.0,6.5,40.0,25.0,39.0,1.03
255.0,6.5,40.0,30.0,39.0,1.01
255.0,6.5,40.0,35.0,39.0,0.99
255.0,6.5,40.0,40.0,39.0,1.6936918429003023
255.0,6.5,40.0,45.0,39.0,1.6936918429003023
255.0,6.5,40.0,50.0,39.0,1.6936918429003023
2447.0,39.0,23.5,53.60598278335725,38.22633123689727,1.6936918429003023
2498.0,37.0,24.0,53.60598278335725,38.22633123689727,1.6936918429003023
2477.0,38.4,25.5,53.60598278335725,38.22633123689727,1.6936918429003023
2528.0,34.0,24.6,53.60598278335725,38.22633123689727,1.6936918429003023
2498.0,35.0,25.0,53.60598278335725,38.22633123689727,1.6936918429003023
2518.0,35.7,25.2,53.60598278335725,38.22633123689727,1.6936918429003023
2488.0,36.5,24.6,53.60598278335725,38.22633123689727,1.6936918429003023
1335.0,70.0,24.0,15.0,60.0,1.6936918429003023
1937.0,0.0,14.0,15.0,60.0,1.6936918429003023
1733.0,0.0,6.8,15.0,60.0,1.6936918429003023
1733.0,10.0,10.0,15.0,60.0,1.6936918429003023
1937.0,15.13,14.0,15.0,60.0,1.6936918429003023
1886.0,1.0,30.0,53.60598278335725,38.22633123689727,1.6936918429003023
1988.0,0.0,32.0,53.60598278335725,38.22633123689727,1.6936918429003023
2243.0,21.9,6.8,53.60598278335725,38.22633123689727,1.6936918429003023
2222.0,40.0,9.16,53.60598278335725,38.22633123689727,1.6936918429003023
2171.0,40.0,15.0,53.60598278335725,38.22633123689727,1.6936918429003023
2171.0,40.0,8.35,53.60598278335725,38.22633123689727,1.6936918429003023
2121.0,80.0,5.33,53.60598278335725,38.22633123689727,1.6936918429003023
2151.0,89.0,5.81,53.60598278335725,38.22633123689727,1.6936918429003023
2549.0,338.0,27.13,53.60598278335725,38.22633123689727,1.6936918429003023
1937.0,20.0,7.0,53.60598278335725,38.22633123689727,1.148
1203.0,170.0,14.8,53.60598278335725,38.22633123689727,1.16
1611.0,285.0,17.5,53.60598278335725,38.22633123689727,1.178
1760.5294570707072,27.0,13.68,53.60598278335725,38.22633123689727,1.198
1760.5294570707072,28.62,13.86,53.60598278335725,38.22633123689727,1.208
1760.5294570707072,30.17,14.06,53.60598278335725,38.22633123689727,1.155
1760.5294570707072,31.37,14.2,53.60598278335725,38.22633123689727,1.169
1760.5294570707072,32.61,14.36,53.60598278335725,38.22633123689727,1.185
1760.5294570707072,28.31,13.97,53.60598278335725,38.22633123689727,1.205
1760.5294570707072,30.01,14.16,53.60598278335725,38.22633123689727,1.215
1760.5294570707072,31.45,14.33,53.60598278335725,38.22633123689727,1.162
1760.5294570707072,32.7,14.47,53.60598278335725,38.22633123689727,1.176
1760.5294570707072,33.81,14.6,53.60598278335725,38.22633123689727,1.192
1760.5294570707072,29.64,14.26,53.60598278335725,38.22633123689727,1.212
1760.5294570707072,31.4,14.46,53.60598278335725,38.22633123689727,1.222
1760.5294570707072,32.91,14.63,53.60598278335725,38.22633123689727,1.169
1760.5294570707072,34.23,14.78,53.60598278335725,38.22633123689727,1.186
1760.5294570707072,35.39,14.92,53.60598278335725,38.22633123689727,1.199
1760.5294570707072,30.97,14.55,53.60598278335725,38.22633123689727,1.219
1760.5294570707072,32.81,14.75,53.60598278335725,38.22633123689727,1.229
1760.5294570707072,34.38,14.94,53.60598278335725,38.22633123689727,1.176
1760.5294570707072,35.76,15.1,53.60598278335725,38.22633123689727,1.194
1760.5294570707072,36.97,15.24,53.60598278335725,38.22633123689727,1.209
1760.5294570707072,32.11,14.83,53.60598278335725,38.22633123689727,1.226
1760.5294570707072,34.21,15.05,53.60598278335725,38.22633123689727,1.236
1760.5294570707072,35.87,15.24,53.60598278335725,38.22633123689727,0.25
1760.5294570707072,37.29,15.4,53.60598278335725,38.22633123689727,0.5
1760.5294570707072,38.56,15.55,53.60598278335725,38.22633123689727,0.74
2039.0,2.0,5.0,6.0,45.0,1.01
2039.0,2.0,15.0,6.0,45.0,1.35
2039.0,2.0,25.0,6.0,45.0,0.41
2039.0,2.0,35.0,6.0,45.0,0.7
2039.0,2.0,45.0,6.0,45.0,0.98
2039.0,5.0,5.0,6.0,45.0,1.28
2039.0,5.0,15.0,6.0,45.0,1.65
2039.0,5.0,25.0,6.0,45.0,0.65
2039.0,5.0,35.0,6.0,45.0,0.98
2039.0,5.0,45.0,6.0,45.0,1.3
2039.0,10.0,5.0,6.0,45.0,1.63
2039.0,10.0,15.0,6.0,45.0,2.04
2039.0,10.0,25.0,6.0,45.0,1.06
2039.0,10.0,35.0,6.0,45.0,1.48
2039.0,10.0,45.0,6.0,45.0,1.85
2039.0,20.0,5.0,6.0,45.0,2.24
2039.0,20.0,15.0,6.0,45.0,2.69
2039.0,20.0,25.0,6.0,45.0,0.2
2039.0,20.0,35.0,6.0,45.0,0.4
2039.0,20.0,45.0,6.0,45.0,0.8
2039.0,5.0,0.0,6.0,45.0,0.25
2039.0,10.0,0.0,6.0,45.0,0.51
2039.0,20.0,0.0,6.0,45.0,0.77
2039.0,2.0,5.0,6.0,45.0,1.07
2039.0,2.0,15.0,6.0,45.0,1.42
2039.0,2.0,25.0,6.0,45.0,0.43
2039.0,2.0,35.0,6.0,45.0,0.73
2039.0,2.0,45.0,6.0,45.0,1.03
2039.0,5.0,5.0,6.0,45.0,1.34
2039.0,5.0,15.0,6.0,45.0,1.68
2039.0,5.0,25.0,6.0,45.0,0.69
2039.0,5.0,35.0,6.0,45.0,1.04
2039.0,5.0,45.0,6.0,45.0,1.36
2039.0,10.0,5.0,6.0,45.0,1.69
2039.0,10.0,15.0,6.0,45.0,2.05
2039.0,10.0,25.0,6.0,45.0,1.2
2039.0,10.0,35.0,6.0,45.0,1.59
2039.0,10.0,45.0,6.0,45.0,1.95
2039.0,20.0,5.0,6.0,45.0,2.28
2039.0,20.0,15.0,6.0,45.0,2.67
2039.0,5.0,0.0,6.0,45.0,0.0
2039.0,10.0,0.0,6.0,45.0,2.0
2039.0,20.0,0.0,6.0,45.0,4.0
2039.0,2.0,5.0,6.0,45.0,5.9
2039.0,2.0,15.0,6.0,45.0,5.2
2039.0,2.0,25.0,6.0,45.0,4.9
2039.0,2.0,35.0,6.0,45.0,4.3
2039.0,2.0,45.0,6.0,45.0,5.1
2039.0,5.0,5.0,6.0,45.0,4.7
2039.0,5.0,15.0,6.0,45.0,1.8
2039.0,5.0,25.0,6.0,45.0,6.2
2039.0,5.0,35.0,6.0,45.0,6.1
2039.0,5.0,45.0,6.0,45.0,4.6
2039.0,10.0,5.0,6.0,45.0,3.7
